,0,1,2,3,4,5,6
angry,0.1596478,0.16898942,0.13462375,0.112771146,0.14752634,0.15290453,0.083114676
disgust,0.020458328,0.03092679,0.019163134,0.011837829,0.01894976,0.019522019,0.010464648
fear,0.15416631,0.15010831,0.17358491,0.10859434,0.15083879,0.15808478,0.1878564
happy,0.18512267,0.17418227,0.17001402,0.41082564,0.18447629,0.18620059,0.10120189
neutral,0.19012623,0.19856185,0.17298205,0.15289247,0.22030453,0.1908931,0.11549781
sad,0.18496513,0.17640921,0.16344292,0.13931729,0.17531455,0.1910264,0.10537677
surprise,0.10551363,0.10082217,0.16618909,0.063762,0.102589905,0.1013689,0.39648804
